4030000292;4030000182;Cévennes 2005 - animateurs;4030000002;Jeunesse;4.3.11 - 33.15;0403113315;;
4030000300;4030000189;Jeunesse - Alliance 2002;4030000002;Jeunesse;4.3.11 - 33.16;0403113316;;
4030000326;4030000208;Cévennes 2007 - Participants;4030000002;Jeunesse;4.3.11 - 33.17;0403113317;;
4030000327;4030000209;Cévennes 2007 - Animateurs;4030000002;Jeunesse;4.3.11 - 33.18;0403113318;;
4030000111;4030000142;MARIAGES;4030000003;REGISTRES PAROISSIAUX;xxxxx;;Ne pas transférer;
4030000112;4030000143;SERVICES FUNEBRES;4030000003;REGISTRES PAROISSIAUX;xxxxx;;idem;
4030000113;4030000144;BENEDICTIONS DES CATECHUMENES;4030000003;REGISTRES PAROISSIAUX;xxxxx;;idem;
4030000115;4030000146;BAPTEMES;4030000003;REGISTRES PAROISSIAUX;xxxxx;;idem;
4030000148;4030000149;BENEDICTIONS DES PETITS ENFANTS;4030000003;REGISTRES PAROISSIAUX;xxxxx;;idem;
4030000116;4030000034;Culte de l'Enfance 1999-2000;4030000005;Enfance;4.3.5 - 2.1;0403050201;;
4030000117;4030000035;Culte de l'enfance 2000-2001;4030000005;Enfance;4.3.5 - 2.2;0403050202;;
4030000118;4030000036;Culte de l'enfance 2001-2002;4030000005;Enfance;4.3.5 - 2.3;0403050203;;
4030000119;4030000037;Culte de l'Enfance 2002-2003;4030000005;Enfance;4.3.5 - 2.4;0403050204;;
4030000121;4030000038;Camp famille 2009;4030000005;Enfance;4.3.5 - 2.5;0403050205;;
4030000133;4030000039;Enfance / CE moniteurs, monitrices;4030000005;Enfance;4.3.5 - 2.6;0403050206;;
4030000120;4030000042;Eveil à la Foi - célébrations;4030000005;Enfance;4.3.5 - 2.7;0403050207;;
4030000219;4030000043;Enfance / EF - moniteurs, monitrices;4030000005;Enfance;4.3.5 - 2.8;0403050208;;
4030000134;4030000147;Culte de l'enfance 2003-2004;4030000005;Enfance;4.3.5 - 2.9;0403050209;;
4030000149;4030000150;CE 10-11/ Echichens H. Della Casa;4030000005;Enfance;4.3.5 - 2.10;0403050210;;
4030000150;4030000151;;4030000005;Enfance;4.3.5 - 2.11;0403050211;;
4030000151;4030000152;CE 10-11 / Monnaz E. Cornut;4030000005;Enfance;4.3.5 - 2.12;0403050212;;
4030000152;4030000155;CE 10-11 / AM Köllmann;4030000005;Enfance;4.3.5 - 2.13;0403050213;;
4030000253;4030000157;CE 10-11 / 5ème - Didier;4030000005;Enfance;4.3.5 - 2.14;0403050214;;
4030000155;4030000158;Culte de l'Enfance 2009-2010;4030000005;Enfance;4.3.5 - 2.15;0403050215;;
