;;;;Catégories;;;;;;Groupes réels;;;Accès tâches utilisateur;;;;;;;;;;;;;;Région Morges;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;Secrétariats;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;; Central;;;Régional;;;Paroissial;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Superstructures groupes A;;Superstructures groupes B;;Superstructures groupes C;;Groupes;;Sous-Groupes A;Consultation;Composition;Définition;Consultation;Composition;Définition;Consultation;Composition;Définition;Abacus;A décider…;Focntions;Bénévoles;Code FM pro;;;;;;;;;;;;;;;;;;
21480;2.1.3 - 8;0201030800;;;;;;;8;Commission de médiation;;;O;O;;O;;;O;;;Y;;3;;CMED;;;;;;;;;;;;;;;;;;
21490;2.1.3 - 9;0201030900;;;;;;;9;Comm. de Formation aux Ministères;;;O;O;;O;;;O;;;Y;;3;;CFM;;;;;;;;;;;;;;;;;;
21600;2.1.4;0201040000;;;;;4;Cellules;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21610;2.1.4 - 1;0201040100;;;;;;;1;Cellule de crise;;;O;O;;O;;;O;;;;;4;;;;;;;;;;;;;;;;;;;;
21620;2.1.4 - 2;0201040200;;;;;;;2;Archives;;;O;O;;O;;;O;;;;;4;;;;;;;;;;;;;;;;;;;;
21630;2.1.4 - 3;0201040300;;;;;;;3;Finances, recherche de fonds;;;O;O;;O;;;O;;;;;4;;;;;;;;;;;;;;;;;;;;
22000;2.2;0202000000;;;2;Offices;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22100;2.2.1;0202010000;;;;;1;OCF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22110;2.2.1 - 1;0202010100;;;;;;;1;Staff OCF;;;O;O;;O;;;O;;;;;7;;COCF;;;;;;;;;;;;;;;;;;
22120;2.2.1 - 2;0202010200;;;;;;;2;Commission consultative OCF;;;O;O;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22130;2.2.1 - 3;0202010300;;;;;;;3;Soutien Synode;;;O;O;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22140;2.2.1 - 4;0202010400;;;;;;;4;Fonds OCF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22150;2.2.1 - 4.1;0202010401;;;;;;;;;1;Fonds libres n1, n2, n3;O;O;;O;;;O;;;;;3;;;;;;;;;;;;;;;;;;;;
22160;2.2.1 - 5;0202010500;;;;;;;5;Activités OCF libres n1, n2, n3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22200;2.2.2;0202020000;;;;;2;OIC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22210;2.2.2 - 1;0202020100;;;;;;;1;Staff OIC;;;O;O;;O;;;O;;;;;7;;;;;;;;;;;;;;;;;;;;
22220;2.2.2 - 2;0202020200;;;;;;;2;Commission consultative OIC;;;;;;;;;;;;;;;;COIC;;;;;;;;;;;;;;;;;;
22230;2.2.2 - 3;0202020300;;;;;;;3;Fonds OIC;;;O;O;;O;;;O;;;Y;;;;;;;;;;;;;;;;;;;;;;
22240;2.2.2 - 3.1;0202020301;;;;;;;;;1;Fonds libres n1, n2, n3;O;O;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;
22250;2.2.2 - 4;0202020400;;;;;;;4;Rapport annuel;;;O;O;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;
22260;2.2.2 - 5;0202020500;;;;;;;5;EERV.Flash;;;O;O;;O;;;O;;;;;4;;FLASH;;;;;;;;;;;;;;;;;;
22270;2.2.2 - 6;0202020600;;;;;;;6;Activités OIC libres n1, n2, n3;;;O;O;;O;;;O;;;;;;;;;;;;;;;;;;;;;;;;;
22300;2.2.3;0202030000;;;;;3;ORH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22310;2.2.3 - 1;0202030100;;;;;;;1;Staff ORH;;;O;O;;O;;;O;;;Y;;7;;;;;;;;;;;;;;;;;;;;
22320;2.2.3 - 2;0202030200;;;;;;;2;Commission consultative ORH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22330;2.2.3 - 3;0202030300;;;;;;;3;Fonds ORH;;;O;O;;O;;;;;;;;;;FSEERV;;;;;;;;;;;;;;;;;;
22340;2.2.3 - 3.1;0202030301;;;;;;;;;1;Fonds libres n1, n2, n3;O;O;;;;;O;;;;;3;;;;;;;;;;;;;;;;;;;;
22350;2.2.3 - 4;0202030400;;;;;;;4;Maîtres de stage;;;;;;;;;;;;;;;;MSTA;;;;;;;;;;;;;;;;;;
22360;2.2.3 - 5;0202030500;;;;;;;5;Remplacements dominicaux;;;O;O;;O;;;O;;;;;;;RDO;;;;;;;;;;;;;;;;;;
22370;2.2.3 - 6;0202030600;;;;;;;6;Veufs/veuves de ministres;;;;;;;;;;;;;;;;VEU;;;;;;;;;;;;;;;;;;
22380;2.2.3 - 7;0202030700;;;;;;;7;Actvités ORH libres n1, n2, n3;;;O;O;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22400;2.2.4;0202040000;;;;;4;OES;;;;;O;O;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22410;2.2.4 - 1;0202040100;;;;;;;1;Staff OES;;;O;O;;;;;;;;;;7;;;;;;;;;;;;;;;;;;;;
22420;2.2.4 - 2;0202040200;;;;;;;2;Commission consultative OES;;;;;;;;;;;;;;;;COES;;;;;;;;;;;;;;;;;;
22430;2.2.4 - 3;0202040300;;;;;;;3;Fonds OES;;;O;O;;O;;;O;;;;;;;;;;;;;;;;;;;;;;;;;
22440;2.2.4 - 3.1;0202040301;;;;;;;;;;Fonds libres n1, n2, n3;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;
22450;2.2.4 - 4;0202040400;;;;;;;4;Actvités OES libres n1, n2, n3;;;O;O;;O;;;O;;;Y;;;;;;;;;;;;;;;;;;;;;;
22500;2.2.5;0202050000;;;;;5;Lieu-phare St-Laurent Eglise;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22510;2.2.5 - 1;0202050100;;;;;;;1;Staff;;;O;O;;O;;;O;;;;;9;;;;;;;;;;;;;;;;;;;;
22520;2.2.5 - 2;0202050200;;;;;;;2;Groupes libres n1, n2, n3;;;O;O;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22600;2.2.6;0202060000;;;;;6;Lieu-phare La Cathédrale;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22610;2.2.6 - 1;0202060100;;;;;;;1;Staff;;;O;O;;O;;;O;;;;;9;;;;;;;;;;;;;;;;;;;;
22620;2.2.6 - 2;0202060200;;;;;;;2;Groupes libres n1, n2, n3;;;O;O;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22700;2.2.7;0202070000;;;;;7;Lieu-phare L'Esprit Sainf;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22710;2.2.7 - 1;0202070100;;;;;;;1;Staff;;;O;O;;O;;;O;;;;;9;;;;;;;;;;;;;;;;;;;;
22720;2.2.7 - 2;0202070200;;;;;;;2;Groupes libres n1, n2, n3;;;O;O;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23000;2.3;0203000000;;;3;Services;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23100;2.3.1;0203010000;;;;;1;SFA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23110;2.3.1 - 1;0203010100;;;;;;;1;Staff SFA;;;O;O;;O;;;O;;;Y;;8;;;;;;;;;;;;;;;;;;;;
23120;2.3.1 - 2;0203010200;;;;;;;2;Groupes libres n1, n2, n3;;;O;O;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23200;2.3.2;0203020000;;;;;2;SSAS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23210;2.3.2 - 1;0203020100;;;;;;;1;Staff SSAS;;;O;O;;O;;;O;;;Y;;8;;;;;;;;;;;;;;;;;;;;
23220;2.3.2 - 2;0203020200;;;;;;;2;Groupes libres n1, n2, n3;;;O;O;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23300;2.3.3;0203030000;;;;;3;STN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23310;2.3.3 - 1;0203030100;;;;;;;1;Staff STN;;;O;O;;O;;;O;;;Y;;8;;;;;;;;;;;;;;;;;;;;
23320;2.3.3 - 2;0203030200;;;;;;;2;Groupes libres n1, n2, n3;;;O;O;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23400;2.3.4;0203040000;;;;;4;SVCC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23410;2.3.4 - 1;0203040100;;;;;;;1;Staff SVCC;;;O;O;;O;;;O;;;Y;;8;;;;;;;;;;;;;;;;;;;;
23420;2.3.4 - 2;0203040200;;;;;;;2;Groupes libres n1, n2, n3;;;O;O;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24000;2.4;0204000000;;;4;Transversal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24100;2.4.1;0204010000;;;;;1;Projets spéciaux;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24110;2.4.1 - 1;0204010100;;;;;;;1;Projets 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24120;2.4.1 - 1.1;0204010101;;;;;;;;;1;Groupe pilotage 1;O;O;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;
24130;2.4.1 - 1.2;0204010102;;;;;;;;;2;Groupe de projets 1;O;O;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;
24140;2.4.1 - 2;0204010200;;;;;;;2;Projet 2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24150;2.4.1 - 2.1;0204010201;;;;;;;;;1;Groupe pilotage 2;O;O;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;
24160;2.4.1 - 2.2;0204010202;;;;;;;;;2;Groupe de projets 2;O;O;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;
24200;2.4.2;0204020000;;;;;2;Mandats;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24210;2.4.2 - 1;0204020100;;;;;;;1;Mandat 1, 2, 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24220;2.4.2 - 1.1;0204020101;;;;;;;;;1;Groupe pilotage 1, 2, 3;O;O;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;
24230;2.4.2 - 1.2;0204020102;;;;;;;;;2;Mandataires 1, 2, 3;O;O;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;
25000;2.5;0205000000;;;5;Envois en nombre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25100;2.5.1;0205010000;;;;;1;OCF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25110;2.5.1 - 1;0205010100;;;;;;;1;eerv.flash;;;O;O;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25120;2.5.1 - 2;0205010200;;;;;;;2;Rapport annuel;;;O;O;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25130;2.5.1 - 3;0205010300;;;;;;;3;Vœux de Noël;;;O;O;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25140;2.5.1 - 4;0205010400;;;;;;;4;Convocations Synode;;;O;O;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25150;2.5.1 - 5;0205010500;;;;;;;5;Envois libres n1, n2, n3;;;O;O;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25200;2.5.2;0205020000;;;;;2;OIC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25210;2.5.2 - 1;0205020100;;;;;;;1;Envois libres n1, n2, n3;;;O;O;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25300;2.5.3;0205030000;;;;;3;ORH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25310;2.5.3 - 1;0205030100;;;;;;;1;Envois libres n1, n2, n3;;;O;O;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25400;2.5.4;0205040000;;;;;4;OES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25410;2.5.4 - 1;0205040100;;;;;;;1;Envois libres n1, n2, n3;;;O;O;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25500;2.5.5;0205050000;;;;;5;Lieu-phare St-Laurent Eglise;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25510;2.5.5 - 1;0205050100;;;;;;;1;Envois libres n1, n2, n3;;;O;O;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25600;2.5.6;0205060000;;;;;6;Lieu-phare La Cathédrale;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25610;2.5.6 - 1;0205060100;;;;;;;1;Envois libres n1, n2, n3;;;O;O;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25700;2.5.7;0205070000;;;;;7;Lieu-phare L'Esprit Sainf;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25710;2.5.7 - 1;0205070100;;;;;;;1;Envois libres n1, n2, n3;;;O;O;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25800;2.5.8;0205080000;;;;;8;SFA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25810;2.5.8 - 1;0205080100;;;;;;;1;Lettre Nouvelle CVDF;;;O;O;;;;;;;;;;;;REFU CVDF;;;;;;;;;;;;;;;;;;
25820;2.5.8 - 2;0205080200;;;;;;;2;Envois libres n1, n2, n3;;;O;O;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25900;2.5.9;0205090000;;;;;9;SSAS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25910;2.5.9 - 1;0205090100;;;;;;;1;Envois libres n1, n2, n3;;;O;O;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26000;2.5.10;0205100000;;;;;10;STN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26010;2.5.10 - 1;0205100100;;;;;;;1;Circulaire périodique;;;O;O;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26020;2.5.10 - 2;0205100200;;;;;;;2;Envois libres n1, n2, n3;;;O;O;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26100;2.5.11;0205110000;;;;;11;SVCC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26110;2.5.11 - 1;0205110100;;;;;;;1;Envois libres n1, n2, n3;;;O;O;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26200;2.5.12;0205120000;;;;;12;Catégories libres n1, n2, n3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26210;2.5.12 - 1;0205120100;;;;;;;1;Envois libres n1, n2, n3;;;O;O;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30000;3;0300000000;3;Régions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30100;3.1;0301000000;;;1;Autorités Organes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30200;3.1.1;0301010000;;;;;1;Assemblée;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30210;3.1.1 - 1;0301010100;;;;;;;1;Assemblée régionale;;;O;;;O;O;;;;;Y;;1;;PAR/MAR;;;;;;;;;;;;;;;;;;
30220;3.1.1 - 1.1;0301010101;;;;;;;;;1;Délégation Paroisse n1;O;;;O;;;O;O;;;;;;;;;;;;;;;;;;;;;;;;
30230;3.1.1 - 1.2;0301010102;;;;;;;;;2;Délégation paroisse n2;O;;;O;;;O;O;;;;;;;;;;;;;;;;;;;;;;;;
30240;3.1.1 - 1.3;0301010103;;;;;;;;;3;Délégation paroisse n3…nn;O;;;O;;;O;O;;;;;;;;;;;;;;;;;;;;;;;;
30300;3.1.2;0301020000;;;;;2;Conseils;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30310;3.1.2 - 1;0301020100;;;;;;;1;Conseil régional;;;O;;;O;O;;O;;;;;2;;PCR/MCR;;;;;;;;;;;;;;;;;;
30320;3.1.2 - 2;0301020200;;;;;;;2;Conseil SCFA;;;O;;;O;O;;O;;;;;2;;FOR;;;;;;;;;;;;;;;;;;
30330;3.1.2 - 3;0301020300;;;;;;;3;Conseil SCPS;;;O;;;O;O;;O;;;;;2;;PRES;;;;;;;;;;;;;;;;;;
30400;3.1.3;0301030000;;;;;3;Commissions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30410;3.1.3 - 1;0301030100;;;;;;;1;Commission de gestion et des finances;;;O;;;O;O;;O;;;;;3;;;;;;;;;;;;;;;;;;;;
30500;3.1.4;0301040000;;;;;4;Cellules;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30510;3.1.4 - 1;0301040100;;;;;;;1;Archives;;;O;;;O;O;;O;;;;;4;;;;;;;;;;;;;;;;;;;;
30520;3.1.4 - 2;0301040200;;;;;;;2;Recherche de fonds;;;O;;;O;O;;O;;;;;4;;;;;;;;;;;;;;;;;;;;
31000;3.2;0302000000;;;2;Coordination - Information;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31100;3.2.1;0302010000;;;;;1;Staff;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31110;3.2.1 - 1;0302010100;;;;;;;1;Coordinateur régional;;;O;;;O;O;;O;;;;;;;;;;;;;;;;;;;;;;;;;
31120;3.2.1 - 2;0302010200;;;;;;;2;Répondant InfoComm;;;O;;;O;O;;O;;;;;;;;;;;;;;;;;;;;;;;;;
31130;3.2.1 - 3;0302010300;;;;;;;3;Caissier;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31140;3.2.1 - 4;0302010400;;;;;;;4;Secrétariat;;;O;;;O;O;;O;;;;;;;;;;;;;;;;;;;;;;;;;
31200;3.2.2;0302020000;;;;;2;Activités;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31210;3.2.2 - 1;0302020100;;;;;;;1;Groupes libres n1, n2, n3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32000;3.3;0303000000;;;3;Formation et Accompagnment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32100;3.3.1;0303010000;;;;;1;Staff;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32110;3.3.1 - 1;0303010100;;;;;;;1;Répondant Régional Enfance;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32120;3.3.1 - 2;0303010200;;;;;;;2;Répondant Régional Jeunesse;;;O;;;O;O;;O;;;;;;;;;;;;;;;;;;;;;;;;;
32130;3.3.1 - 3;0303010300;;;;;;;3;Répondant Régional Adultes;;;O;;;O;O;;O;;;;;;;;;;;;;;;;;;;;;;;;;
32140;3.3.1 - 4;0303010400;;;;;;;4;Secrétariat;;;O;;;O;O;;O;;;;;;;;;;;;;;;;;;;;;;;;;
32200;3.3.2;0303020000;;;;;2;Animateurs du KT;;;;;O;;;O;O;;O;;;;;;;;;;;;;;;;;;;;;;;;;
32210;3.3.2 - 1;0303020100;;;;;;;1;KT 5-6 Ministres;;;O;;;O;O;;O;;;;;;;;;;;;;;;;;;;;;;;;;
32220;3.3.2 - 2;0303020200;;;;;;;2;KT 5-6 Catéchètes/Jacks;;;O;;;O;O;;O;;;;;;;;;;;;;;;;;;;;;;;;;
32230;3.3.2 - 3;0303020300;;;;;;;3;KT 8-9 Ministres;;;O;;;O;O;;O;;;;;;;;;;;;;;;;;;;;;;;;;
32240;3.3.2 - 4;0303020400;;;;;;;4;KT 8-9 Catéchètes/Jacks;;;O;;;O;O;;O;;;;;;;;;;;;;;;;;;;;;;;;;
32250;3.3.2 - 5;0303020500;;;;;;;5;Ministres Rameaux;;;O;;;O;O;;O;;;;;;;;;;;;;;;;;;;;;;;;;
32260;3.3.2 - 6;0303020600;;;;;;;6;Coofficiants Rameaux;;;O;;;O;O;;O;;;;;;;;;;;;;;;;;;;;;;;;;
32300;3.3.3;0303030000;;;;;3;Volées Catéchumènes;;;;;;;;O;O;;O;?;;;;;;;;;;;;;;;;;;;;;;;;
32310;3.3.3 - 1;0303030100;;;;;;;1;Catéchumènes 2007-09-11;;;;;;O;O;;O;O;;;;;;;;;;;;;;;;;;;;;;;;
32320;3.3.3 - 2;0303030200;;;;;;;2;Catéchumènes 2008-10-13;;;;;;O;O;;O;?;;;;;;;;;;;;;;;;;;;;;;;;
32330;3.3.3 - 3;0303030300;;;;;;;3;Catéchumènes 2009-11-14;;;;;;O;O;;O;?;;;;;;;;;;;;;;;;;;;;;;;;
32340;3.3.3 - 4;0303030400;;;;;;;4;Catéchumènes 2010-12-15;;;;;;O;O;;O;?;;;;;;;;;;;;;;;;;;;;;;;;
32350;3.3.3 - 5;0303030500;;;;;;;5;Catéchumènes 2011-14-16;;;;;;O;O;;O;?;;;;;;;;;;;;;;;;;;;;;;;;
32360;3.3.3 - 6;0303030600;;;;;;;6;Catéchumènes 2012-15-17;;;O;;;O;O;;O;;;;;;;;;;;;;;;;;;;;;;;;;
32370;3.3.3 - 7;0303030700;;;;;;;7;Catéchumènes 2013-16-18;;;O;;;O;O;;O;;;;;;;;;;;;;;;;;;;;;;;;;
32380;3.3.3 - 8;0303030800;;;;;;;8;Catéchumènes 2014-17-19;;;O;;;O;O;;O;;;;;;;;;;;;;;;;;;;;;;;;;
32400;3.3.4;0303040000;;;;;4;Activités KT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32410;3.3.4 - 1;0303040100;;;;;;;1;Groupes libres n1, n2, n3;;;;;;O;O;;O;;;;;;;;;;;;;;;;;;;;;;;;;
32500;3.3.5;0303050000;;;;;5;Jeunesse;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32510;3.3.5 - 1;0303050100;;;;;;;1;Ministres jeunesse;;;O;;;O;O;;O;;;;;;;;;;;;;;;;;;;;;;;;;
32520;3.3.5 - 2;0303050200;;;;;;;2;Jacks A formés;;;O;;;O;O;;O;;;;;;;;;;;;;;;;;;;;;;;;;
32530;3.3.5 - 3;0303050300;;;;;;;3;Jacks B formés;;;;;;O;O;;O;?;;;;;;;;;;;;;;;;;;;;;;;;
32540;3.3.5 - 4;0303050400;;;;;;;4;Jacks C formés;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32550;3.3.5 - 5;0303050500;;;;;;;5;Jacks J&S;;;;;;O;O;;O;?;;;;;;;;;;;;;;;;;;;;;;;;
32560;3.3.5 - 6;0303050600;;;;;;;6;Groupe de jeunes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32570;3.3.5 - 7;0303050700;;;;;;;7;Groupes libres n1, n2, n3;;;;;;O;O;;O;;;;;;;;;;;;;;;;;;;;;;;;;
32600;3.3.6;0303060000;;;;;6;Activités Jeunesse;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32610;3.3.6 - 1;0303060100;;;;;;;1;Groupes libres n1, n2, n3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32700;3.3.7;0303070000;;;;;7;Animateurs Formation d'adultes;;;;;O;;;O;O;;O;;;;;;;;;;;;;;;;;;;;;;;;;
32710;3.3.7 - 1;0303070100;;;;;;;1;Formateurs d'adultes;;;O;;;O;O;;O;;;;;;;;;;;;;;;;;;;;;;;;;
32720;3.3.7 - 2;0303070200;;;;;;;2;Coanimateurs Formation d'adultes;;;;;;O;O;;O;;;;;;;;;;;;;;;;;;;;;;;;;
32800;3.3.8;0303080000;;;;;8;Activités Formation d'adultes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32810;3.3.8 - 1;0303080100;;;;;;;1;Groupes libres n1, n2, n3;;;;;;O;O;;O;;;;;;;;;;;;;;;;;;;;;;;;;
33000;3.4;0304000000;;;4;Présence & Solidarités;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33100;3.4.1;0304010000;;;;;1;Staff;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33110;3.4.1 - 1;0304010100;;;;;;;1;Répondant Régional Solidarité;;;O;;;O;O;;O;;;;;;;;;;;;;;;;;;;;;;;;;
33120;3.4.1 - 2;0304010200;;;;;;;2;Répondant Régional TN;;;O;;;O;O;;O;;;;;;;;;;;;;;;;;;;;;;;;;
33130;3.4.1 - 3;0304010300;;;;;;;3;Secrétariat;;;;;;O;O;;O;;;;;;;;;;;;;;;;;;;;;;;;;
33140;3.4.1 - 4;0304010400;;;;;;;4;Bénévoles TN régionaux;;;;;;O;O;;;;;;;;;;;;;;;;;;;;;;;;;;;
33200;3.4.2;0304020000;;;;;2;Activités P&S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33210;3.4.2 - 1;0304020100;;;;;;;1;Groupes libres n1, n2, n3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34000;3.5;0305000000;;;5;Autres activités régionales;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34100;3.5.1;0305010000;;;;;1;Projets régionaux;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34110;3.5.1 - 1;0305010100;;;;;;;1;Groupes libres n1, n2, n3;;;;;;O;O;;;;;;;;;;;;;;;;;;;;;;;;;;;
35000;3.6;0306000000;;;6;Envois en nombre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35100;3.6.1;0306010000;;;;;1;Région;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35510;3.6.1 - 1;0306010100;;;;;;;1;Envois libres n1, n2, n3;;;;;;O;O;;;;;;;;;;;;;;;;;;;;;;;;;;;
36000;3.7;0307000000;;;7;VIP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36100;3.7.1;0307010000;;;;;1;Invitations;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36110;3.7.1 - 1;0307010100;;;;;;;1;VIP libres n1, n2, n3;;;;;;O;O;;;;;;;;;;;;;;;;;;;;;;;;;;;
40000;4;0400000000;4;Paroisses;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40100;4.1;0401000000;;;1;Autorités, organes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40200;4.1.1;0401010000;;;;;1;Assemblée;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40210;4.1.1 - 1;0401010100;;;;;;;1;Bureau Assemblée paroissiale;;;O;;;O;;;O;O;;;;1;;PAP;;;;;;;;;;;;;;;;;;
40300;4.1.2;0401020000;;;;;2;Conseil;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40310;4.1.2 - 1;0401020100;;;;;;;1;Conseil paroissial;;;O;;;O;;;O;O;;;;2;;PCP & CPAR;;;;;;;;;;;;;;;;;;
40400;4.1.3;0401030000;;;;;3;Commissions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40410;4.1.3 - 1;0401030100;;;;;;;1;Commission gestion et finances;;;O;;;O;;;O;O;;;;3;;;;;;;;;;;;;;;;;;;;
40500;4.1.4;0401040000;;;;;4;Cellules;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40510;4.1.4 - 1;0401040100;;;;;;;1;Archives;;;O;;;O;;;O;O;;;;4;;;;;;;;;;;;;;;;;;;;
