;;;;Catégories;;;;;;Groupes réels;;;Accès tâches utilisateur;;;;;;;;;;;;;;Région Morges;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;Secrétariats;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;; Central;;;Régional;;;Paroissial;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Superstructures groupes A;;Superstructures groupes B;;Superstructures groupes C;;Groupes;;Sous-Groupes A;Consultation;Composition;Définition;Consultation;Composition;Définition;Consultation;Composition;Définition;Abacus;A décider…;Focntions;Bénévoles;Code FM pro;;;;;;;;;;;;;;;;;;
11630;1.1.6 - 3;0101060300;;;;;;;3;Secrétaire;;;O;O;;O;O;;O;O;;;;;;;;;;;;;;;;;;;;;;;;
11700;1.1.7;0101070000;;;;;7;Staff Office EERV;;;;;;;;;;;;;;;;7;;;;;;;;;;;;;;;;;;;;
11710;1.1.7 - 1;0101070100;;;;;;;1;Responsable d'office;;;O;O;;O;;;O;;;;;;;;;;;;;;;;;;;;;;;;;
11720;1.1.7 - 2;0101070200;;;;;;;2;Collaborateur;;;O;O;;O;;;O;;;;;;;;;;;;;;;;;;;;;;;;;
11730;1.1.7 - 3;0101070300;;;;;;;3;Secrétaire;;;O;O;;O;;;O;;;;;;;;;;;;;;;;;;;;;;;;;
11740;1.1.7 - 4;0101070400;;;;;;;4;Responsable budgétaire autorisé;;;O;O;;O;;;O;;;;;;;;;;;;;;;;;;;;;;;;;
11750;1.1.7 - 5;0101070500;;;;;;;5;Conseiller synodal répondant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11800;1.1.8;0101080000;;;;;8;Staff Service EERV;;;;;;;;;;;;;;;;8;;;;;;;;;;;;;;;;;;;;
11810;1.1.8 - 1;0101080100;;;;;;;1;Coordinateur;;;O;O;;O;;;O;;;;;;;;;;;;;;;;;;;;;;;;;
11820;1.1.8 - 2;0101080200;;;;;;;2;Ministre;;;O;O;;O;;;O;;;;;;;;;;;;;;;;;;;;;;;;;
11830;1.1.8 - 3;0101080300;;;;;;;3;Secrétaire;;;O;O;;O;;;O;;;;;;;;;;;;;;;;;;;;;;;;;
11840;1.1.8 - 4;0101080400;;;;;;;4;Responsable budgétaire autorisé;;;O;O;;O;;;O;;;;;;;;;;;;;;;;;;;;;;;;;
11850;1.1.8 - 5;0101080500;;;;;;;5;Conseiller synodal répondant;;;O;O;;O;;;O;;;;;;;;;;;;;;;;;;;;;;;;;
11900;1.1.9;0101090000;;;;;9;Staff Lieu-Phare;;;;;;;;;;;;;;;;9;;;;;;;;;;;;;;;;;;;;
11910;1.1.9 - 1;0101090100;;;;;;;1;Ministre;;;O;O;;O;;;O;;;;;;;;;;;;;;;;;;;;;;;;;
11920;1.1.9 - 2;0101090200;;;;;;;2;Bénévoles;;;O;O;;O;;;O;;;;;;;;;;;;;;;;;;;;;;;;;
12000;1.1.10;0101100000;;;;;10;Staff Aumôneries œcuméniques;;;;;;;;;;;;;;;;10;;;;;;;;;;;;;;;;;;;;
12010;1.1.10 - 1;0101100100;;;;;;;1;Coordinateur;;;O;O;;O;;;O;;;;;;;;;;;;;;;;;;;;;;;;;
12020;1.1.10 - 2;0101100200;;;;;;;2;Aumôniers;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12030;1.1.10 - 3;0101100300;;;;;;;3;Répondant réformé;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12040;1.1.10 - 4;0101100400;;;;;;;4;Répondant catholique;;;O;O;;O;;;O;;;;;;;;;;;;;;;;;;;;;;;;;
12100;1.1.11;0101110000;;;;;11;Fonctions Partenaires;;;;;;;;;;;;;;;;11;;;;;;;;;;;;;;;;;;;;
12110;1.1.11 - 1;0101110100;;;;;;;1;Adresse générale;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12120;1.1.11 - 2;0101110200;;;;;;;2;Directeur;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12130;1.1.11 - 3;0101110300;;;;;;;3;Président;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12140;1.1.11 - 4;0101110400;;;;;;;4;Responsable;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12200;1.1.12;0101120000;;;;;12;Fonctions Municipalité;;;;;;;;;;;;;;;;16;;;;;;;;;;;;;;;;;;;;
12210;1.1.12 - 1;0101120100;;;;;;;1;Syndic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12220;1.1.12 - 2;0101120200;;;;;;;2;Municipal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12230;1.1.12 - 3;0101120300;;;;;;;3;Greffe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12300;1.1.13;0101130000;;;;;13;Fonctions simles;;;;;;;;;;;;;;;;17;;;;;;;;;;;;;;;;;;;;
12310;1.1.13 - 1;0101130100;;;;;;;1;Président;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12320;1.1.13 - 2;0101130200;;;;;;;2;Membre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12400;1.1.14;0101140000;;;;;14;Fonctions Eglises sœurs;;;;;;;;;;;;;;;;12;;;;;;;;;;;;;;;;;;;;
12410;1.1.14 - 1;0101140100;;;;;;;1;Adresse générale;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12420;1.1.14 - 2;0101140200;;;;;;;2;Président;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12430;1.1.14 - 3;0101140300;;;;;;;3;Conseiller synodal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12440;1.1.14 - 4;0101140400;;;;;;;4;Chargé de communication;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12500;1.1.15;0101150000;;;;;15;Fonctions Département CER;;;;;;;;;;;;;;;;13;;;;;;;;;;;;;;;;;;;;
12510;1.1.15 - 1;0101150100;;;;;;;1;Adresse générale;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12520;1.1.15 - 2;0101150200;;;;;;;2;Directeur;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12530;1.1.15 - 3;0101150300;;;;;;;3;Président conseil;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12540;1.1.15 - 4;0101150400;;;;;;;4;Membre conseil;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12550;1.1.15 - 5;0101150500;;;;;;;5;Collaborateur;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12560;1.1.15 - 6;0101150600;;;;;;;6;Secrétaire;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12570;1.1.15 - 7;0101150700;;;;;;;7;Répondant BCER;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12600;1.1.16;0101160000;;;;;16;Fonctions Service Eglises partenaires;;;;;;;;;;;;;;;;14;;;;;;;;;;;;;;;;;;;;
12610;1.1.16 - 1;0101160100;;;;;;;1;Adresse générale;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12620;1.1.16 - 2;0101160200;;;;;;;2;Directeur;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12630;1.1.16 - 3;0101160300;;;;;;;3;Collaborateur;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12640;1.1.16 - 4;0101160400;;;;;;;4;Secrétaire;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12700;1.1.17;0101170000;;;;;17;Fonctions unités pastorales catholiques;;;;;;;;;;;;;;;;15;;;;;;;;;;;;;;;;;;;;
12710;1.1.17 - 1;0101170100;;;;;;;1;Adresse générale, secrétariat;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12720;1.1.17 - 2;0101170200;;;;;;;2;Doyen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12800;1.1.18;0101180000;;;;;18;Fonctions ad libitum;;;;;O;O;O;O;O;O;O;O;O;;;;;;;;;;;;;;;;;;;;;;;
12810;1.1.18 - 1;0101180100;;;;;;;1;Fonctions libres n1, n2, n3;;;O;O;O;O;O;O;O;O;O;;;;;;;;;;;;;;;;;;;;;;;
15000;1.2;0102000000;;;2;Personnel EERV;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15100;1.2.1;0102010000;;;;;1;Ministres (Cat.);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15110;1.2.1 - 1;0102010100;;;;;;;1;Pasteurs;;;O;O;;O;;;O;;;Y;;;;;;;;;;;;;;;;;;;;;;
15120;1.2.1 - 2;0102010200;;;;;;;2;Diacres;;;O;O;;O;;;O;;;Y;;;;;;;;;;;;;;;;;;;;;;
