Début;DesG;DesSG;Fin;IdxG;IdxP;IdxPar;IdxSG;TexteLibre
;non;Sélection;;403110101;9010000152;9010000000;403110100;
;non;Sélection;;403110101;9010000153;9010000000;403110100;
;non;Sélection;;403110101;9010000154;9010000000;403110100;
;non;Sélection;;403110101;9010000156;9010000000;403110100;
;non;Sélection;;403110101;9010000157;9010000000;403110100;
;non;Sélection;;403110101;9010000159;9010000000;403110100;
;non;Sélection;;403110101;9010000160;9010000000;403110100;
;non;Sélection;;403110101;9010000161;9010000000;403110100;
;non;Sélection;;403110101;9010000165;9010000000;403110100;
;non;Sélection;;403110101;9010000170;9010000000;403110100;
;non;Sélection;;403110101;9010000171;9010000000;403110100;
;non;Sélection;;403110101;9010000172;9010000000;403110100;
;non;Sélection;;403110101;9010000173;9010000000;403110100;
;non;Sélection;;403110101;9010000174;9010000000;403110100;
;non;Sélection;;403110101;9010000175;9010000000;403110100;
;non;Sélection;;403110101;9010000180;9010000000;403110100;
;non;Sélection;;403110101;9010000181;9010000000;403110100;
;non;Sélection;;403110101;9010000182;9010000000;403110100;
;non;Sélection;;403110101;9010000183;9010000000;403110100;
;non;Sélection;;403110101;9010000184;9010000000;403110100;
;non;Sélection;;403110101;9010000186;9010000000;403110100;
;non;Sélection;;403110101;9010000187;9010000000;403110100;
;non;Sélection;;403110101;9010000188;9010000000;403110100;
;non;Sélection;;403110101;9010000189;9010000000;403110100;
;non;Sélection;;403110101;9010000190;9010000000;403110100;
;non;Sélection;;403110101;9010000191;9010000000;403110100;
;non;Sélection;;403110101;9010000192;9010000000;403110100;
;non;Sélection;;403110101;9010000193;9010000000;403110100;
;non;Sélection;;403110101;9010000194;9010000000;403110100;
;non;Sélection;;403110101;9010000195;9010000000;403110100;
;non;Sélection;;403110101;9010000196;9010000000;403110100;
;non;Sélection;;403110101;9010000197;9010000000;403110100;
;non;Sélection;;403110101;9010000199;9010000000;403110100;
;non;Sélection;;403110101;9010000200;9010000000;403110100;
;non;Sélection;;403110101;9010000204;9010000000;403110100;
;non;Sélection;;403110101;9010000205;9010000000;403110100;
;non;Sélection;;403110101;9010000206;9010000000;403110100;
;non;Sélection;;403110101;9010000207;9010000000;403110100;
;non;Sélection;;403110101;9010000209;9010000000;403110100;
;non;Sélection;;403110101;9010000210;9010000000;403110100;
;non;Sélection;;403110101;9010000214;9010000000;403110100;
;non;Sélection;;403110101;9010000216;9010000000;403110100;
;non;Sélection;;403110101;9010000217;9010000000;403110100;
;non;Sélection;;403110101;9010000218;9010000000;403110100;
;non;Sélection;;403110101;9010000219;9010000000;403110100;
;non;Sélection;;403110101;9010000220;9010000000;403110100;
;non;Sélection;;403110101;9010000221;9010000000;403110100;
;non;Sélection;;403110101;9010000222;9010000000;403110100;
;non;Sélection;;403110101;9010000223;9010000000;403110100;
;non;Sélection;;403110101;9010000224;9010000000;403110100;
;non;Sélection;;403110101;9010000225;9010000000;403110100;
;non;Sélection;;403110101;9010000226;9010000000;403110100;
;non;Sélection;;403110101;9010000227;9010000000;403110100;
;non;Sélection;;403110101;9010000229;9010000000;403110100;
;non;Sélection;;403110101;9010000235;9010000000;403110100;
;non;Sélection;;403110101;9010000239;9010000000;403110100;
;non;Sélection;;403110101;9010000240;9010000000;403110100;
;non;Sélection;;403110101;9010000241;9010000000;403110100;
;non;Sélection;;403110101;9010000242;9010000000;403110100;
;non;Sélection;;403110101;9010000243;9010000000;403110100;
;non;Sélection;;403110101;9010000244;9010000000;403110100;
;non;Sélection;;403110101;9010000246;9010000000;403110100;
;non;Sélection;;403110101;9010000249;9010000000;403110100;
;non;Sélection;;403110101;9010000250;9010000000;403110100;
;non;Sélection;;403110101;9010000251;9010000000;403110100;
;non;Sélection;;403110101;9010000253;9010000000;403110100;
;non;Sélection;;403110101;9010000254;9010000000;403110100;
;non;Sélection;;403110101;9010000256;9010000000;403110100;
;non;Sélection;;403110101;9010000257;9010000000;403110100;
;non;Sélection;;403110101;9010000258;9010000000;403110100;
;non;Sélection;;403110101;9010000260;9010000000;403110100;
;non;Sélection;;403110101;9010000261;9010000000;403110100;
;non;Sélection;;403110101;9010000262;9010000000;403110100;
;non;Sélection;;403110101;9010000263;9010000000;403110100;
;non;Sélection;;403110101;9010000264;9010000000;403110100;
;non;Sélection;;403110101;9010000265;9010000000;403110100;
;non;Sélection;;403110101;9010000266;9010000000;403110100;
;non;Sélection;;403110101;9010000267;9010000000;403110100;
;non;Sélection;;403110101;9010000268;9010000000;403110100;
;non;Sélection;;403110101;9010000269;9010000000;403110100;
;non;Sélection;;403110101;9010000270;9010000000;403110100;
;non;Sélection;;403110101;9010000271;9010000000;403110100;
;non;Sélection;;403110101;9010000272;9010000000;403110100;
;non;Sélection;;403110101;9010000273;9010000000;403110100;
;non;Sélection;;403110101;9010000275;9010000000;403110100;
;non;Sélection;;403110101;9010000276;9010000000;403110100;
;non;Sélection;;403110101;9010000277;9010000000;403110100;
;non;Sélection;;403110101;9010000278;9010000000;403110100;
;non;Sélection;;403110101;9010000279;9010000000;403110100;
;non;Sélection;;403110101;9010000280;9010000000;403110100;
;non;Sélection;;403110101;9010000281;9010000000;403110100;
;non;Sélection;;403110101;9010000282;9010000000;403110100;
;non;Sélection;;403110101;9010000289;9010000000;403110100;
;non;Sélection;;403110101;9010000291;9010000000;403110100;
;non;Sélection;;403110101;9010000297;9010000000;403110100;
;non;Sélection;;403110101;9010000298;9010000000;403110100;
;non;Sélection;;403110101;9010000299;9010000000;403110100;
;non;Sélection;;403110101;9010000300;9010000000;403110100;
;non;Sélection;;403110101;9010000301;9010000000;403110100;
;non;Sélection;;403110101;9010000302;9010000000;403110100;
;non;Sélection;;403110101;9010000303;9010000000;403110100;
;non;Sélection;;403110101;9010000305;9010000000;403110100;
;non;Sélection;;403110101;9010000306;9010000000;403110100;
;non;Sélection;;403110101;9010000307;9010000000;403110100;
;non;Sélection;;403110101;9010000308;9010000000;403110100;
;non;Sélection;;403110101;9010000309;9010000000;403110100;
;non;Sélection;;403110101;9010000310;9010000000;403110100;
;non;Sélection;;403110101;9010000311;9010000000;403110100;
;non;Sélection;;403110101;9010000314;9010000000;403110100;
;non;Sélection;;403110101;9010000315;9010000000;403110100;
;non;Sélection;;403110101;9010000316;9010000000;403110100;
;non;Sélection;;403110101;9010000317;9010000000;403110100;
;non;Sélection;;403110101;9010000319;9010000000;403110100;
;non;Sélection;;403110101;9010000320;9010000000;403110100;
;non;Sélection;;403110101;9010000322;9010000000;403110100;
;non;Sélection;;403110101;9010000323;9010000000;403110100;
;non;Sélection;;403110101;9010000324;9010000000;403110100;
;non;Sélection;;403110101;9010000325;9010000000;403110100;
;non;Sélection;;403110101;9010000326;9010000000;403110100;
;non;Sélection;;403110101;9010000327;9010000000;403110100;
;non;Sélection;;403110101;9010000328;9010000000;403110100;
;non;Sélection;;403110101;9010000329;9010000000;403110100;
;non;Sélection;;403110101;9010000330;9010000000;403110100;
;non;Sélection;;403110101;9010000331;9010000000;403110100;
;non;Sélection;;403110101;9010000332;9010000000;403110100;
;non;Sélection;;403110101;9010000333;9010000000;403110100;
;non;Sélection;;403110101;9010000334;9010000000;403110100;
;non;Sélection;;403110101;9010000335;9010000000;403110100;
;non;Sélection;;403110101;9010000336;9010000000;403110100;
;non;Sélection;;403110101;9010000337;9010000000;403110100;
;non;Sélection;;403110101;9010000338;9010000000;403110100;
;non;Sélection;;403110101;9010000339;9010000000;403110100;
;non;Sélection;;403110101;9010000340;9010000000;403110100;
;non;Sélection;;403110101;9010000341;9010000000;403110100;
;non;Sélection;;403110101;9010000343;9010000000;403110100;
;non;Sélection;;403110101;9010000344;9010000000;403110100;
;non;Sélection;;403110101;9010000345;9010000000;403110100;
;non;Sélection;;403110101;9010000346;9010000000;403110100;
;non;Sélection;;403110101;9010000347;9010000000;403110100;
;non;Sélection;;403110101;9010000348;9010000000;403110100;
;non;Sélection;;403110101;9010000349;9010000000;403110100;
;non;Sélection;;403110101;9010000350;9010000000;403110100;
;non;Sélection;;403110101;9010000351;9010000000;403110100;
;non;Sélection;;403110101;9010000352;9010000000;403110100;
;non;Sélection;;403110101;9010000353;9010000000;403110100;
;non;Sélection;;403110101;9010000355;9010000000;403110100;
;non;Sélection;;403110101;9010000356;9010000000;403110100;
;non;Sélection;;403110101;9010000359;9010000000;403110100;
;non;Sélection;;403110101;9010000361;9010000000;403110100;
;non;Sélection;;403110101;9010000362;9010000000;403110100;
;non;Sélection;;403110101;9010000363;9010000000;403110100;
;non;Sélection;;403110101;9010000364;9010000000;403110100;
;non;Sélection;;403110101;9010000366;9010000000;403110100;
;non;Sélection;;403110101;9010000367;9010000000;403110100;
;non;Sélection;;403110101;9010000368;9010000000;403110100;
;non;Sélection;;403110101;9010000370;9010000000;403110100;
;non;Sélection;;403110101;9010000372;9010000000;403110100;
;non;Sélection;;403110101;9010000373;9010000000;403110100;
;non;Sélection;;403110101;9010000374;9010000000;403110100;
;non;Sélection;;403110101;9010000375;9010000000;403110100;
;non;Sélection;;403110101;9010000376;9010000000;403110100;
;non;Sélection;;403110101;9010000377;9010000000;403110100;
;non;Sélection;;403110101;9010000378;9010000000;403110100;
;non;Sélection;;403110101;9010000379;9010000000;403110100;
;non;Sélection;;403110101;9010000383;9010000000;403110100;
;non;Sélection;;403110101;9010000384;9010000000;403110100;
;non;Sélection;;403110101;9010000385;9010000000;403110100;
;non;Sélection;;403110101;9010000386;9010000000;403110100;
;non;Sélection;;403110101;9010000387;9010000000;403110100;
;non;Sélection;;403110101;9010000388;9010000000;403110100;
;non;Sélection;;403110101;9010000389;9010000000;403110100;
;non;Sélection;;403110101;9010000390;9010000000;403110100;
;non;Sélection;;403110101;9010000391;9010000000;403110100;
;non;Sélection;;403110101;9010000393;9010000000;403110100;
;non;Sélection;;403110101;9010000394;9010000000;403110100;
;non;Sélection;;403110101;9010000396;9010000000;403110100;
;non;Sélection;;403110101;9010000397;9010000000;403110100;
;non;Sélection;;403110101;9010000401;9010000000;403110100;
;non;Sélection;;403110101;9010000402;9010000000;403110100;
;non;Sélection;;403110101;9010000403;9010000000;403110100;
;non;Sélection;;403110101;9010000404;9010000000;403110100;
